NCBI_RefSeq	Heme	ENV	checkm_completeness	checkm_contamination	checkm_marker_set_count	coding_density	gc_percentage	genome_size	Phylum	Class	Order	Family	Genus	Species
GCA_000830255	1.00	biofilm	98.37	0.61	246	95.32450277	46.88534223	2294002	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	PC08-66	PC08-66 sp000830255
GCA_000961585	0.70	rhizosphere	98.42	0.79	158	86.73951727	49.87153019	3493817	Firmicutes_B	Desulfotomaculia	Desulfotomaculales	Desulfocucumaceae	BRHc4a	BRHc4a sp000961585
GCA_000961805	0.90	rhizosphere	94.9	4.08	196	84.20135735	42.71078006	6027195	Firmicutes_B	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	Desulfosporosinus sp000961805
GCA_000961845	0.90	rhizosphere	95	1.08	186	92.69283608	32.22298088	2917452	Bacteroidota	Bacteroidia	Flavobacteriales	Vicingaceae	BRH-c54	BRH-c54 sp000961845
GCA_000980495	1.00	host	100	1.9	158	87.58083618	49.25582822	2171676	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Parasutterella	Parasutterella sp000980495
GCA_000989185	0.20	freshwater enviroment	88.76	0.27	89	92.65936818	27.58266204	1062320	Dependentiae	Babeliae	Babeliales	UASB340	UASB340	UASB340 sp000989185
GCA_001303025	0.70	sediment	84.19	1.94	155	88.26765473	56.96168525	3800553	Desulfobacterota	Desulfobacteria	Desulfobacterales	SG8-13	SG8-13	SG8-13 sp001303025
GCA_001303445	0.80	sediment	81.11	1.33	211	93.85587352	68.10102733	3137175	Proteobacteria	Gammaproteobacteria	Burkholderiales	SG8-39	SG8-39	SG8-39 sp001303445
GCA_001303585	0.90	sediment	91.11	4.39	211	87.19676169	62.90973228	3747630	Proteobacteria	Gammaproteobacteria	Burkholderiales	SG8-41	SG8-41	SG8-41 sp001303585
GCA_001303765	0.20	sediment	82.77	0.68	148	90.75593554	26.22784936	1126604	Chlamydiota	Chlamydiia	Chlamydiales	SM23-39	SM23-39	SM23-39 sp001303765
GCA_001303785	0.20	sediment	93.41	1.1	91	91.21944228	46.24992449	2532789	WOR-3	WOR-3	SM23-42	SM23-42	SM23-42	SM23-42 sp001303785
GCA_001304315	0.10	sediment	86.05	3.3	91	87.64987393	42.49847453	2255062	Zixibacteria	MSB-5A5	MSB-5A5	SM23-73-2	SM23-73-2	SM23-73-2 sp001304315
GCA_001314655	0.88	microbial mat	98.33	0.4	330	91.19288325	67.62370624	3698543	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HLUCCA08	HLUCCA08 sp001314655
GCA_001314805	0.88	microbial mat	98.33	0.53	330	90.82597815	67.06530333	3684589	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseicyclus	Roseicyclus sp001314805
GCA_001412365	0.10	marine environment	95.24	2.2	91	92.22725811	37.85711328	3139690	WOR-3	SDB-A	SDB-A	SDB-A	SDB-A	SDB-A sp001412365
GCA_001438205	0.30	marine environment	97.85	0	186	95.62722703	49.0142002	1743356	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	TMED14	TMED14 sp001438205
GCA_001442985	0.20	hot springs	93.06	0.1	108	92.45847956	60.47257236	2852210	Armatimonadota	Fimbriimonadia	Fimbriimonadales	GBS-DC	LDYB01	LDYB01 sp001442985
GCA_001443375	0.30	sediment	90.28	2.31	108	91.92428917	71.84837137	2585469	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	CSP1-4	CSP1-4 sp001443375
GCA_001443485	0.20	sediment	84.41	2.04	108	92.38636054	68.25907993	2535673	CSP1-3	CSP1-3	CSP1-3	CSP1-3	CSP1-3	CSP1-3 sp001443485
GCA_001464215	0.88	activated carbon	92.47	1.42	316	91.4937203	60.09324054	2617960	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Ga0077548	Ga0077548 sp001464215
GCA_001464285	0.90	activated carbon	96.75	3.75	248	87.32694917	60.31296512	5386351	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium sp001464285
GCA_001464335	0.88	activated carbon	93.28	0.11	316	90.76260757	62.98376981	3375314	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylopilaceae	Ga0077545	Ga0077545 sp001464335
GCA_001464385	1.00	activated carbon	96	2.28	155	93.01245705	72.19833604	10242556	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	Ga0077550	Ga0077550 sp001464385
GCA_001464455	1.00	activated carbon	94.44	2.56	117	91.19162646	53.12868634	4200469	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	OLB17	OLB17 sp001464455
GCA_001464545	0.90	activated carbon	92.02	0.65	308	91.16727445	64.44173788	3080578	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphomonas	Hyphomonas sp001464545
GCA_001464585	1.00	activated carbon	97.22	0.65	284	88.6627322	53.0487541	2912042	Proteobacteria	Gammaproteobacteria	Ga0077554	Ga007554	Ga0077554	Ga0077554 sp001464585
GCA_001464615	0.88	activated carbon	99.15	0.63	293	91.23990822	61.89164124	3572337	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp001464615
GCA_001464665	1.00	activated carbon	96.58	2.61	117	90.83459148	55.13654234	3964155	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	OLB17	OLB17 sp001464665
GCA_001464715	0.80	activated carbon	97.32	1.34	112	92.08041754	51.0671313	3387868	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Ga0074137	Ga0074137 sp001464715
GCA_001464735	1.00	activated carbon	87.67	2.83	110	86.7756611	55.0712935	4111525	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira_F	Nitrospira_F sp001464735
GCA_001464915	0.88	activated carbon	94.9	0.25	293	91.92927601	62.94575014	2838754	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	Erythrobacter sp001464915
GCA_001464935	1.00	activated carbon	91.46	2.91	284	90.1002208	66.76147376	4826643	Proteobacteria	Gammaproteobacteria	Ga0077536	Ga0077536	Ga0077536	Ga0077536 sp001464935
GCA_001464955	0.90	activated carbon	97.65	0.2	248	88.70694956	66.15971901	4836594	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Ga0077555	Ga0077555 sp001464955
GCA_001464995	0.70	activated carbon	90.37	0.86	116	91.35390565	73.85436279	3155471	Actinobacteriota	Thermoleophilia	Ga0077560	Ga0077560	Ga0077541	Ga0077541 sp001464995
GCA_001465025	1.00	activated carbon	96.65	0.76	308	89.31794676	58.63820847	4017355	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	PseudomonaE sp001465025
GCA_001468855	0.10	bioreactor	83.9	4.49	89	80.26735177	36.91266103	1504385	Dependentiae	Babeliae	Babeliales	RVW-14	UASB124	UASB124 sp001468855
GCA_001469005	1.00	bioreactor	90	0	119	90.22064406	47.11542563	3494361	SAR324	SAR324	SAR324	NAC60-12	UBA1014	UBA1014 sp001469005
GCA_001507855	1.00	terrestrial	99.57	0.43	232	89.23326596	54.76295809	3564665	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	Halomonas sp001507855
GCA_001509095	0.20	terrestrial	95.76	0	59	92.62252966	57.32379586	1333167	Synergistota	Synergistia	Synergistales	Thermovirgaceae	58-81	58-81 sp001509095
GCA_001510385	1.00	aquatic	89.74	1.28	117	95.00654669	55.85590427	1897905	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Casp-actino5	Casp-actino5 sp001510385
GCA_001512495	0.70	bioreactor	97.15	1.09	196	86.00920205	51.28973381	2282100	Firmicutes_B	Syntrophomonadia	Syntrophomonadales	DTU052	DTU052	DTU052 sp001512495
GCA_001512555	0.30	bioreactor	94.97	1.22	143	86.8864217	46.94117082	2152700	Firmicutes_A	Clostridia	Acetivibrionales	DSM-8532	Thermoclostridium_A	Thermoclostridium_A sp001512555
GCA_001512665	0.20	bioreactor	93.27	0.58	196	89.34263324	38.48946372	1669981	Firmicutes_B	Peptococcia	DRI-13	DTU073	DTU073	DTU073 sp001512665
GCA_001512745	0.30	bioreactor	89.57	0	141	90.60682047	46.46794582	1612734	Firmicutes_A	Clostridia	Saccharofermentanales	DTU023	DTU032	DTU032 sp001512745
GCA_001512915	0.30	bioreactor	92.74	0.81	124	89.00811544	43.39814875	1899465	Firmicutes_A	Mahellia_A	Caldicoprobacterales	DTU083	DTU083	DTU083 sp001512915
GCA_001512995	0.30	bioreactor	95.89	0	75	90.85300982	47.27192137	1469139	Firmicutes	Bacilli	ML615J-28	CAG-698	DTU067	DTU067 sp001512995
GCA_001513045	0.40	bioreactor	92.39	0.67	149	91.0819987	48.63424038	2450807	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	DTU089	DTU089 sp001513045
GCA_001513385	0.20	bioreactor	86.64	0.81	149	85.90508337	45.16692683	1885992	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	DTU064	DTU064 sp001513385
GCA_001515945	0.90	rhizosphere	97.62	4	196	87.32302153	36.11551971	3853576	Firmicutes_B	Moorellia	Desulfitibacterales	Desulfitibacteraceae	Desulfitibacter	Desulfitibacter sp001515945
GCA_001516025	0.40	rhizosphere	97.77	1.68	179	93.62194717	34.17894088	3487867	Bacteroidota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	BRH-c32	BRH-c32 sp001516025
GCA_001516045	0.80	rhizosphere	94.49	4.08	196	82.89472143	41.9600045	6234251	Firmicutes_B	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	Desulfosporosinus sp001516045
GCA_001564055	0.90	soda lake	92.37	0.56	177	88.04829985	62.37287064	3196449	Bacteroidota	Rhodothermia	Rhodothermales	Salinibacteraceae	Tc-Br11-B2g6-7	Tc-Br11-B2g6-7 sp001564055
GCA_001567115	0.90	bioreactor	96.82	2.81	89	91.29461361	54.58508011	4052939	OLB16	OLB16	OLB16	OLB16	OLB16	OLB16 sp001567115
GCA_001567195	0.90	bioreactor	94.26	3.07	183	88.18286088	57.36973998	3914670	Bacteroidota	Kapabacteria	OLB7	OLB7	OLB7	OLB7 sp001567195
GCA_001601815	1.00	freshwater enviroment	96.73	2.71	203	87.77696055	44.98467281	4871497	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavihumibacter	Flavihumibacter sp001601815
GCA_001601825	1.00	freshwater enviroment	98.3	0.03	234	92.41538418	52.47691092	3217513	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	Limnobacter sp001601825
GCA_001602845	0.30	bioreactor	83.33	4.04	210	94.53306471	58.57673377	2096147	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-11	Bact-11 sp001602845
GCA_001603025	0.30	bioreactor	83.27	1.61	124	91.17807792	62.44500896	2720983	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	Firm-10	Firm-10 sp001603025
GCA_001603425	0.20	bioreactor	80.27	0.48	210	93.9329488	33.61644179	1882084	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-08	Bact-08 sp001603425
GCA_001603455	0.40	bioreactor	95.14	1.59	210	94.85143459	46.63977987	1934636	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	DMER64	DMER64 sp001603455
GCA_001603595	0.40	bioreactor	99.29	3.33	210	92.047964	32.06421386	3069302	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-15	Bact-19	Bact-19 sp001603595
GCA_001603845	0.70	bioreactor	91.46	4.78	155	84.23350605	59.71737911	4293028	Desulfobacterota	Syntrophobacteria	Syntrophobacterales	Syntrophobacteraceae	Delta-01	Delta-01 sp001603845
GCA_001603905	0.70	bioreactor	92.97	0.73	91	91.00895521	51.36969677	3234207	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter sp001603905
GCA_001604035	0.10	bioreactor	92.56	0.89	149	88.99796095	45.72175736	2967559	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	Ruminococcus sp001604035
GCA_001604105	0.30	bioreactor	99.17	0.27	124	86.01705055	55.20312552	3435198	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	Firm-11	Firm-11 sp001604105
GCA_001627925	0.88	marine environment	89.2	1.41	330	91.49710859	40.44045546	2413873	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	MED-G52	MED-G52 sp001627925
GCA_001657295	0.88	microbial mat	97.14	0.56	308	91.31115919	65.40066019	3223514	Proteobacteria	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Oceanicaulis	Oceanicaulis sp001657295
GCA_001657385	0.88	microbial mat	98.7	0.48	250	88.12059686	64.50506592	4240011	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Marinicaulis	Marinicaulis sp001657385
GCA_001701165	0.30	host	96.6	0.13	265	89.09093739	51.39411815	2569955	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp001701165
GCA_001701225	0.30	host	85.47	0.83	265	91.29884574	56.38363611	2557132	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella sp001701225
GCA_001724025	0.90	bioreactor	99.15	4.27	117	90.88719998	68.47971675	4432721	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	SCN-69-37	SCN-69-37	SCN-69-37 sp001724025
GCA_001724135	1.00	bioreactor	96.05	2.83	323	92.01110763	65.20325881	3598246	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Comamonas_C	ComamonaC sp001724135
GCA_001724275	1.00	bioreactor	97.8	4.4	91	90.87954311	70.18084851	4697473	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	SCN-70-22	SCN-70-22 sp001724275
GCA_001724785	0.70	bioreactor	80.69	2.5	264	91.90606377	67.74439078	2939015	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Giesbergeria	Giesbergeria sp001724785
GCA_001724855	1.00	bioreactor	97.6	0.43	234	92.76327382	69.040045	3808117	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	SCN-69-89	SCN-69-89 sp001724855
GCA_001725325	1.00	bioreactor	98.99	0	198	93.97181031	70.36607398	3122347	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Rhodoglobus	Rhodoglobus sp001725325
GCA_001767075	0.90	subsurface	84.78	2.56	117	87.73503271	53.90023427	2949164	Acidobacteriota	Acidobacteriae	2-12-FULL-54-10	2-12-FULL-54-10	2-12-FULL-54-10	2-12-FULL-54-10 sp001767075
GCA_001767695	0.40	subsurface	91.88	1.71	117	91.4435139	67.90925985	2031792	Actinobacteriota	Acidimicrobiia	UBA5794	UBA11373	RBG-16-68-21	RBG-16-68-21 sp001767695
GCA_001767835	0.80	subsurface	94.62	0	93	89.49472778	42.35535009	1544415	Proteobacteria	Alphaproteobacteria	UBA9655	UBA9655	UBA9655	UBA9655 sp001767835
GCA_001768075	1.00	subsurface	92.3	1.29	155	85.26913543	69.4061335	5638481	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	R267	R267 sp001768075
GCA_001769195	0.40	subsurface	95.48	0.95	210	93.73553392	39.81412301	3360015	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-08	Bact-08 sp001769195
GCA_001769535	0.30	subsurface	99.46	1.08	186	89.96177298	37.84112908	5268002	Bacteroidota	Bacteroidia	Bacteroidales	GWF2-38-335	GWF2-38-335	GWF2-38-335 sp001769535
GCA_001771065	0.60	subsurface	90.65	0.53	214	91.57919686	59.04590415	4050350	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	Rhodoferax sp001771065
GCA_001775755	0.30	subsurface	85	0	117	91.38480438	64.0518521	2453444	Acidobacteriota	Aminicenantia	Aminicenantales	RBG-16-66-30	RBG-16-66-30	RBG-16-66-30 sp001775755
GCA_001780165	0.30	subsurface	98.9	0	91	89.31244493	71.02020277	3722320	Eisenbacteria	RBG-16-71-46	RBG-16-71-46	RBG-16-71-46	RBG-16-71-46	RBG-16-71-46 sp001780165
GCA_001784555	1.00	subsurface	94.87	0	117	91.20623903	33.99549706	2109814	Cyanobacteria	Vampirovibrionia	2-02-FULL-35-15	2-02-FULL-35-15	2-02-FULL-34-12	2-02-FULL-34-12 sp001784555
GCA_001784565	0.70	subsurface	87.01	1.71	117	90.74367158	36.92167935	2265812	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	UBA9579	GWF2-37-15	GWF2-37-15 sp001784565
GCA_001784585	1.00	subsurface	96.58	0.85	117	92.14281889	34.6826673	1942096	Cyanobacteria	Vampirovibrionia	2-02-FULL-35-15	2-02-FULL-35-15	2-02-FULL-35-15	2-02-FULL-35-15 sp001784585
GCA_001787535	0.10	subsurface	81.02	0.93	108	89.71761319	51.56535259	1196444	Patescibacteria	Gracilibacteria	Peribacterales	Peribacteraceae	2-02-FULL-52-16	2-02-FULL-52-16 sp001787535
GCA_001788395	0.90	subsurface	84.19	2.96	117	89.3937389	70.16526872	4655090	Methylomirabilota	Methylomirabilia	Rokubacteriales	GWA2-73-35	UBA12499	UBA12499 sp001788395
GCA_001794945	0.50	subsurface	89.35	0.93	108	89.06402107	73.10552642	2933784	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	GWC2-73-18	GWC2-73-18 sp001794945
GCA_001796935	0.80	subsurface	88.78	0	101	88.58050046	61.23015753	1868567	Chloroflexota	Dehalococcoidia	Dehalococcoidales	RBG-16-60-22	RBG-16-60-22	RBG-16-60-22 sp001796935
GCA_001797315	1.00	subsurface	98.63	0.06	214	92.34132654	64.1592505	3398552	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hylemonella	Hylemonella sp001797315
GCA_001797445	0.90	subsurface	94.96	1.68	119	92.67966814	65.86734046	2362912	Desulfobacterota_E	MBNT15	MBNT15	MBNT15	CG2-30-66-27	CG2-30-66-27 sp001797445
GCA_001797845	0.80	subsurface	93.87	1.33	155	85.14383773	43.54471328	2430621	Desulfobacterota	Syntrophia	Syntrophales	Smithellaceae	UBA4810	UBA4810 sp001797845
GCA_001798185	1.00	subsurface	92.16	0.84	119	91.90526582	44.2338937	1977829	UBA10199	UBA10199	2-02-FULL-44-16	2-02-FULL-44-16	2-02-FULL-44-16	2-02-FULL-44-16 sp001798185
GCA_001798885	1.00	subsurface	97.9	0.84	119	92.1950928	63.48054163	2208713	Desulfobacterota_E	MBNT15	MBNT15	MBNT15	RBG-16-64-85	RBG-16-64-85 sp001798885
GCA_001799735	0.20	subsurface	92.85	1.12	89	93.33385139	62.47818419	3062728	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	UBA9959	UBA9959	UBA9959 sp001799735
GCA_001800095	0.60	subsurface	82.02	0	89	92.08534684	63.76261325	1650723	Elusimicrobiota	Elusimicrobia	2-02-FULL-39-32	2-02-FULL-39-32	2-01-FULL-64-13	2-01-FULL-64-13 sp001800095
GCA_001800275	0.20	subsurface	83.4	0	89	92.31780393	57.30193139	2301998	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	UBA9959	UBA9959	UBA9959 sp001800275
GCA_001801635	1.00	subsurface	81.44	1.74	172	90.93420866	43.12340854	1457137	Proteobacteria	Gammaproteobacteria	DSM-16500	DSM-16500	2-12-FULL-43-28	2-12-FULL-43-28 sp001801635
GCA_001801865	1.00	subsurface	91.23	3.9	284	88.93478053	61.24934701	3729316	Proteobacteria	Gammaproteobacteria	UBA4486	UBA4486	2-02-FULL-61-13	2-02-FULL-61-13 sp001801865
GCA_001802375	0.70	subsurface	87.55	2.2	284	84.2729947	51.05540431	2672257	Proteobacteria	Gammaproteobacteria	UBA4486	UBA4486	RBG-16-51-14	RBG-16-51-14 sp001802375
GCA_001802455	1.00	subsurface	93.17	0.58	172	92.95167883	39.14618043	1591911	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	2-02-FULL-42-43	2-02-FULL-42-43 sp001802455
GCA_001802795	0.90	subsurface	94.13	1.68	179	89.43481762	35.59775922	3831595	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	RBG-16-34-14	RBG-16-34-14 sp001802795
GCA_001803635	1.00	subsurface	96.36	0	110	93.45676935	46.39174757	2472158	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	UBA9935	GWB2-47-37	GWB2-47-37 sp001803635
GCA_001804025	0.70	subsurface	80.42	0	93	86.62909185	51.70397176	2195797	Omnitrophota	Omnitrophia	Omnitrophales	GWA2-52-8	GWA2-52-8	GWA2-52-8 sp001804025
GCA_001804125	0.90	subsurface	91.94	0	93	93.4222472	51.41960881	1526646	Omnitrophota	Koll11	2-02-FULL-51-18	2-02-FULL-51-18	2-02-FULL-51-18	2-02-FULL-51-18 sp001804125
GCA_001804165	0.60	subsurface	81.87	0	93	91.28580755	45.15764629	1433776	Omnitrophota	Koll11	UBA1560	2-01-FULL-45-10	2-01-FULL-45-10-A	2-01-FULL-45-10-A sp001804165
