NCBI_RefSeq	Heme	checkm_completeness	checkm_contamination	checkm_marker_set_count	coding_density	gc_percentage	genome_size	Phylum	Class	Order	Family	Genus	Species
GCA_000435075	0.2	95.95	0.03	210	90.70329778	48.02894624	2634773	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp000435075
GCA_000435475	0.3	98.39	0	124	84.88711667	45.01870899	1931286	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CAG-1427	CAG-1427 sp000435475
GCA_000436795	0.3	86.41	0.47	268	89.48839119	42.51451965	2907319	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola sp000436795
GCA_000436975	0.2	91.57	2.81	89	92.51907866	26.26349823	1121934	Firmicutes	Bacilli	RF39	UBA660	CAG-1000	CAG-1000 sp000436975
GCA_000437895	0.2	94.38	4.49	89	90.66890939	25.79579747	1256209	Firmicutes	Bacilli	RF39	UBA660	CAG-914	CAG-914 sp000437895
GCA_000438195	0.2	93.82	3.37	89	89.6268273	27.50728451	1303150	Firmicutes	Bacilli	RF39	UBA660	CAG-776	CAG-776 sp000438195
GCA_000961845	0.9	95	1.08	186	92.69283608	32.22298088	2917452	Bacteroidota	Bacteroidia	Flavobacteriales	Vicingaceae	BRH-c54	BRH-c54 sp000961845
GCA_001438205	0.3	97.85	0	186	95.62722703	49.0142002	1743356	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	TMED14	TMED14 sp001438205
GCA_001512995	0.3	95.89	0	75	90.85300982	47.27192137	1469139	Firmicutes	Bacilli	ML615J-28	CAG-698	DTU067	DTU067 sp001512995
GCA_001601815	1	96.73	2.71	203	87.77696055	44.98467281	4871497	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavihumibacter	Flavihumibacter sp001601815
GCA_001602845	0.3	83.33	4.04	210	94.53306471	58.57673377	2096147	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-11	Bact-11 sp001602845
GCA_001603425	0.2	80.27	0.48	210	93.9329488	33.61644179	1882084	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-08	Bact-08 sp001603425
GCA_001603455	0.4	95.14	1.59	210	94.85143459	46.63977987	1934636	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	DMER64	DMER64 sp001603455
GCA_001603595	0.4	99.29	3.33	210	92.047964	32.06421386	3069302	Bacteroidota	Bacteroidia	Bacteroidales	ML635J-15	Bact-19	Bact-19 sp001603595
GCA_001701165	0.3	96.6	0.13	265	89.09093739	51.39411815	2569955	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp001701165
GCA_001701225	0.3	85.47	0.83	265	91.29884574	56.38363611	2557132	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella sp001701225
GCA_001769195	0.4	95.48	0.95	210	93.73553392	39.81412301	3360015	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-08	Bact-08 sp001769195
GCA_001769535	0.3	99.46	1.08	186	89.96177298	37.84112908	5268002	Bacteroidota	Bacteroidia	Bacteroidales	GWF2-38-335	GWF2-38-335	GWF2-38-335 sp001769535
GCA_001873105	1	94.6	0.29	263	90.52885127	34.39650748	2536630	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Planktosalinus	Planktosalinus sp001873105
GCA_001897515	0.3	97.14	0.71	210	94.16329599	41.10564877	2468842	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-08	Bact-08 sp001897515
GCA_001898405	1	100	0.03	202	90.8084665	44.14601531	5582235	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	46-32	46-32 sp001898405
GCA_001898485	0.6	100	0	202	89.46854033	46.06278076	5487359	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	46-32	46-32 sp001898485
GCA_001898505	1	99.51	3.37	203	92.50093942	50.31125165	7898456	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Puia	Puia sp001898505
GCA_001916215	0.2	97.33	0	75	89.33404231	29.76935398	2046136	Firmicutes	Bacilli	Acholeplasmatales	Anaeroplasmataceae	CAG-307	CAG-307 sp001916215
GCA_001941205	0.3	98.37	1.51	265	89.45175924	51.23186896	2751729	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Amulumruptor	Amulumruptor caecigallinarius
GCA_002066995	0.4	97.54	0.52	203	90.10300839	40.99049227	3757364	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	UTBCD1	UTBCD1 sp002066995
GCA_002068415	0.2	98.67	0	75	90.98137393	37.27256664	1743148	Firmicutes	Bacilli	ML615J-28	CAG-698	UBA2253	UBA2253 sp002068415
GCA_002069095	0.4	85.37	0.46	183	88.47673188	40.11134907	2234774	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Petrimonas	Petrimonas sp002069095
GCA_002069975	0.9	98.92	0.81	186	91.12087785	33.91549232	3103505	Bacteroidota	Bacteroidia	Bacteroidales	UBA1715	WQTX01	WQTX01 sp002069975
GCA_002070265	0.3	95.7	0.9	186	90.48604151	38.89767778	2946271	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	Paludibacter sp002070265
GCA_002071175	0.3	84.9	0.71	210	95.30775713	45.92373	1395516	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	DMER64	DMER64 sp002071175
GCA_002071445	0.4	92.86	1.43	210	89.26361974	44.21547552	3061842	Bacteroidota	Bacteroidia	Bacteroidales	BBW3	MWFE01	MWFE01 sp002071445
GCA_002159065	1	93.35	4.92	186	88.09002036	62.51437316	3122138	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	ZCTH02-B3	ZCTH02-B3 sp002159065
GCA_002159075	1	95.38	1.41	130	87.18822302	53.67802259	3439117	Firmicutes	Bacilli	Bacillales_F	Bacillaceae_M	Bacillus_BB	BacilluBB thermozeamaize
GCA_002159085	1	95.05	0	186	87.60283001	64.33898725	3371584	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Thermobacillus	Thermobacillus sp002159085
GCA_002162835	0.9	91.9	1.28	263	90.73625518	35.22069055	3038145	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Nonlabens	Nonlabens dokdonensiB
GCA_002167775	0.8	94.41	4.32	185	95.17007577	38.01028081	2458610	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	UBA952	UBA952 sp002167775
GCA_002167805	0.3	94.44	4.3	186	95.61665529	36.09250546	1720102	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	TMED14	TMED14 sp002167805
GCA_002171475	1	96.69	3.86	136	95.13914239	30.87642798	1936757	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	TMED96	TMED96 sp002171475
GCA_002215675	0.3	97.62	0.71	210	91.62298889	41.29838374	3376622	Bacteroidota	Bacteroidia	AKYH767-A	2013-40CM-41-45	2013-40CM-41-45	2013-40CM-41-45 sp002215675
GCA_002238525	0.3	97.06	0	136	84.73764451	36.17730377	2958200	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Bin25	Bin25 sp002238525
GCA_002256285	1	99.65	0.07	283	90.91442793	43.37567009	3771254	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002256285
GCA_002256385	1	94.4	0.71	283	87.16078584	40.02649794	3718779	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002256385
GCA_002257025	1	99.03	0	206	88.71893411	39.36857938	4099391	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Daejeonella	Daejeonella sp002257025
GCA_002292365	1	87.89	1.19	336	89.54039245	37.87316737	2579418	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	UBA4465	UBA4465 sp002292365
GCA_002293045	0.9	90.72	0.72	185	94.21528846	41.92274072	2384596	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	UBA952	UBA952 sp002293045
GCA_002293965	0.9	82.92	3.87	120	92.81204756	60.07725522	1654908	Actinobacteriota	Coriobacteriia	OPB41	UBA912	UBA912	UBA912 sp002293965
GCA_002299475	0.1	89.89	0.56	89	89.08970201	27.96854823	891708	Firmicutes	Bacilli	RF39	UBA660	UBA660	UBA660 sp002299475
GCA_002305275	0.2	90.21	0.95	210	92.36130603	44.2816667	1888294	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	Bact-11	Bact-11 sp002305275
GCA_002315745	0.2	83.65	0.18	186	90.84988183	47.02327396	1682328	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	RF16	RF16 sp002315745
GCA_002323795	1	92.45	0.54	186	92.62866084	48.22933119	2380056	Bacteroidota	Bacteroidia	Flavobacteriales	UA16	UA16	UA16 sp002323795
GCA_002328745	0.9	92.81	1.39	120	91.70074053	67.82108842	2054605	Actinobacteriota	Coriobacteriia	OPB41	UBA2279	UBA2184	UBA2184 sp002328745
GCA_002329485	0.4	97.33	0	75	91.5038217	42.87278927	1501428	Firmicutes	Bacilli	ML615J-28	CAG-313	UBA1427	UBA1427 sp002329485
GCA_002329705	0.111111111	91.01	0	89	88.1527229	46.33338121	983821	Firmicutes	Bacilli	RFN20	CAG-826	UBA1424	UBA1424 sp002329705
GCA_002331485	1	100	1.13	185	93.18465875	37.63472856	3410805	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Brumimicrobium	Brumimicrobium sp002331485
GCA_002331575	0.1	95.15	0.95	124	87.69612802	63.87565398	2809262	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella_D	Olsenella_D sp002331575
GCA_002336245	0.3	100	0.11	186	94.11726482	44.59171296	2708468	Bacteroidota	Bacteroidia	Flavobacteriales	Salibacteraceae	UBA4419	UBA4419 sp002336245
GCA_002336475	0.8	90.32	1.61	186	93.35759592	55.64720564	2493826	Bacteroidota	Bacteroidia	Flavobacteriales	UA16	UBA8752	UBA8752 sp002336475
GCA_002336805	0.5	93.6	1.48	203	91.13734752	50.08267353	4209417	Bacteroidota	Bacteroidia	Chitinophagales	LD1	UBA1941	UBA1941 sp002336805
GCA_002344345	0.3	96.66	0.25	202	83.29783565	39.1210245	4340659	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	UBA2365	UBA2365 sp002344345
GCA_002345675	0.5	98.89	3.33	210	88.56137405	39.72443464	4173246	Bacteroidota	Bacteroidia	Bacteroidales	BBW3	UBA2287	UBA2287 sp002345675
GCA_002345925	0.8	90.21	1.81	120	92.46549978	61.8603569	2465419	Actinobacteriota	Coriobacteriia	OPB41	UBA2279	UBA2286	UBA2286 sp002345925
GCA_002346225	0.3	96.63	0.33	203	92.64886389	47.36450131	2866931	Bacteroidota	Bacteroidia	Chitinophagales	BACL12	UBA11426	UBA11426 sp002346225
GCA_002347725	1	92.5	1.67	120	93.11944681	66.84917436	2192658	Actinobacteriota	Coriobacteriia	OPB41	UBA2279	UBA2272	UBA2272 sp002347725
GCA_002350615	0.2	86.78	2.67	210	94.39035493	54.08727603	2535098	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp002350615
GCA_002352105	1	95.93	0.74	203	89.04480517	48.33138398	4193846	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	UBA2791	UBA2791 sp002352105
GCA_002352145	0.3	90.6	0.82	203	91.0811916	41.71104664	3448140	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	JJ008	JJ008 sp002352145
GCA_002352665	1	97.82	4.03	298	89.23917161	31.28020993	3981292	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aureibaculum	Aureibaculum sp002352665
GCA_002353275	0.2	88.76	3.98	89	89.78281826	33.52480269	1264517	Firmicutes	Bacilli	RFN20	CAG-826	UBA2450	UBA2450 sp002353275
GCA_002353825	0.3	97.73	1.63	296	89.67013185	49.22009492	3747376	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002353825
GCA_002358965	0.2	91.39	2.3	210	90.45603144	51.424725	1689423	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	UBA3382	UBA3382 sp002358965
GCA_002359825	0.5	90.09	0.73	183	80.94542176	37.13348563	2877319	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	UBA2632	UBA2632 sp002359825
GCA_002360455	0.2	93.23	0	202	89.45287381	36.36224345	3270379	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	UBA3362	UBA3362 sp002360455
GCA_002360925	1	94.94	0	283	91.71166347	33.06583905	2707600	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Myroides	Myroides sp002360925
GCA_002362235	0.3	88.12	0.16	208	86.30083382	57.73811736	1988194	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp002362235
GCA_002364215	1	99.24	0.19	263	91.43913671	38.70519823	3203754	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aequorivita	Aequorivita sp002364215
GCA_002369415	0.1	95.9	2	75	92.72018651	27.07410521	1452757	Firmicutes	Bacilli	RF39	UBA660	UBA3789	UBA3789 sp002369415
GCA_002372575	0.3	52.74	0	58	89.4206021	53.24612403	1883973	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002372575
GCA_002373715	0.3	88.32	0.57	210	92.98356859	55.1043139	2070668	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp002373715
GCA_002375205	0.2	83.53	4.49	89	88.20509008	26.71017556	1156838	Firmicutes	Bacilli	RF39	UBA660	CAG-302	CAG-302 sp002375205
GCA_002376065	0.3	94.67	0	75	89.31685384	33.83957523	1776106	Firmicutes	Bacilli	Izemoplasmatales	Izemoplasmataceae	UBA3566	UBA3566 sp002376065
GCA_002378005	0.2	95.7	0	186	94.52005079	47.40390218	1851623	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	UBA10364	UBA10364 sp002378005
GCA_002385265	1	92.86	1.75	203	88.35603733	40.80258288	4124017	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	UBA3961	UBA3961 sp002385265
GCA_002385575	0.1	96	1.33	75	90.40890683	52.27774297	1368478	Firmicutes	Bacilli	ML615J-28	CAG-698	UBA3946	UBA3946 sp002385575
GCA_002390845	1	98.52	0.25	203	84.2550507	39.17167968	5828504	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Panacibacter	Panacibacter sp002390845
GCA_002392965	0.3	85.38	2.15	186	90.92732193	54.15708018	2096327	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA1711	UBA1711 sp002392965
GCA_002393555	0.2	83.74	0.19	269	88.63888236	51.21116456	3019210	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA4334	UBA4334 sp002393555
GCA_002393725	0.3	80.04	4.67	270	90.49263785	48.86384231	2893789	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002393725
GCA_002394305	0.2	79.56	0.93	269	88.53341398	56.43741106	2751124	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA4372	UBA4372 sp002394305
GCA_002395775	0.3	89.83	1.19	269	91.22842107	53.24673003	3139868	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA4372	UBA4372 sp002395775
GCA_002396205	0.3	84.29	0	186	90.04115963	51.39212628	2961640	Bacteroidota	Bacteroidia	Bacteroidales	F082	F082	F082 sp002396205
GCA_002397465	0.2	97.75	1.12	89	90.04578544	48.54432401	1535641	Firmicutes	Bacilli	RFN20	CAG-826	UBA4951	UBA4951 sp002397465
GCA_002398365	1	95.77	1.25	336	88.72037911	42.40958482	4972082	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	ELB16-189	ELB16-189 sp002398365
GCA_002399505	0.2	81.79	0	89	75.92433909	41.29194513	1759852	Firmicutes	Bacilli	RFN20	CAG-288	UBA7642	UBA7642 sp002399505
GCA_002399785	0.2	96.63	0	89	90.74045092	30.20978795	1303476	Firmicutes	Bacilli	RFN20	CAG-826	UBA4855	UBA4855 sp002399785
GCA_002402165	0.8	90.32	0	186	92.4727842	32.04431936	3057691	Bacteroidota	Bacteroidia	Flavobacteriales	Vicingaceae	GCA-002793235	GCA-002793235 sp002402165
GCA_002402965	0.5	93.1	3.62	210	91.97929754	50.77530502	3097023	Bacteroidota	Bacteroidia	Bacteroidales	VadinHA17	SR-FBR-E99	SR-FBR-E99 sp002402965
GCA_002403305	0.5	97.14	2.38	210	91.59454712	50.52522654	3427989	Bacteroidota	Bacteroidia	Bacteroidales	VadinHA17	SR-FBR-E99	SR-FBR-E99 sp002403305
GCA_002405445	0.4	87.01	3.75	336	86.10141066	46.17733107	3899590	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	ELB16-189	ELB16-189 sp002405445
GCA_002407855	0.3	97.31	0	186	89.45955932	32.86299229	2043425	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA10566	UBA10566 sp002407855
GCA_002411005	0.2	93.26	1.12	89	89.966442	29.24270393	1016449	Firmicutes	Bacilli	RF39	UBA660	UBA5348	UBA5348 sp002411005
GCA_002417975	0.9	94.4	0.81	124	86.54030293	46.38341887	1960267	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	UBA5808	UBA5808 sp002417975
GCA_002420145	1	98.33	1.75	210	92.75682048	32.30455315	3530618	Bacteroidota	Bacteroidia	AKYH767	B-17BO	UBA4416	UBA4416 sp002420145
GCA_002422865	0.3	96.4	1.59	210	90.89415394	36.77634527	3263409	Bacteroidota	Bacteroidia	NS11-12g	UKL13-3	UBA6183	UBA6183 sp002422865
GCA_002423585	1	96.67	2.5	120	92.48643807	66.17315114	2258343	Actinobacteriota	Coriobacteriia	OPB41	UBA2279	UBA6100	UBA6100 sp002423585
GCA_002425185	0.4	98.5	0.3	336	93.11083833	43.42113801	4193892	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	UBA2336	UBA2336 sp002425185
GCA_002427365	0.2	96.25	0	89	85.88592963	36.04523032	1064080	Firmicutes	Bacilli	RFN20	CAG-826	UBA5455	UBA5455 sp002427365
GCA_002427755	1	98.75	0.02	336	93.74317018	39.03801347	4055744	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fabibacter	Fabibacter sp002427755
GCA_002428385	0.4	72.01	0.97	210	90.98223138	46.63132724	2142204	Bacteroidota	Bacteroidia	Bacteroidales	VadinHA17	LD21	LD21 sp002428385
GCA_002428995	1	99.46	0	186	92.78101687	49.1535796	5325570	Bacteroidota	Bacteroidia	Flavobacteriales	Salibacteraceae	UBA6057	UBA6057 sp002428995
GCA_002429385	1	100	2.96	186	85.51729923	40.83596732	4995049	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	UBA6024	UBA6024 sp002429385
GCA_002435785	1	96.72	0.51	198	87.78236057	51.43534183	5735707	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	UBA6168	UBA6168 sp002435785
GCA_002439755	0.3	94.86	0.14	269	91.69428904	47.38213816	2379110	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA6382	UBA6382 sp002439755
GCA_002440125	0.2	94.94	0	89	89.53311334	44.16922624	1530350	Firmicutes	Bacilli	RFN20	CAG-826	UBA4951	UBA4951 sp002440125
GCA_002440705	1	94.72	1.9	263	94.06861837	43.5425902	2904062	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	BACL21	BACL21 sp002440705
GCA_002449555	0.2	83.91	1.88	124	85.85761202	62.78766868	2278816	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	UBA1367	UBA1367 sp002449555
GCA_002449755	0.2	90.42	2.67	75	91.94369487	28.7856604	1832515	Firmicutes	Bacilli	Acholeplasmatales	Anaeroplasmataceae	Anaeroplasma	Anaeroplasma sp002449755
GCA_002449845	0.3	96.58	0.49	270	89.71672292	43.43957799	4125572	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002449845
GCA_002451465	0.2	94.94	0	89	90.36556133	27.98671516	1160161	Firmicutes	Bacilli	RFN20	CAG-826	UBA4855	UBA4855 sp002451465
GCA_002477825	0.2	98.76	0	89	91.26370493	33.69960364	1597691	Firmicutes	Bacilli	RFN20	CAG-826	CAG-826	CAG-826 sp002477825
GCA_002477945	0.3	93.01	0.54	186	88.78462242	47.30842801	2277498	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	RF16	RF16 sp002477945
GCA_002478275	0.6	80	2.36	120	89.08243614	63.47904333	1814544	Actinobacteriota	Coriobacteriia	OPB41	UBA912	UBA7524	UBA7524 sp002478275
GCA_002482725	1	95.87	2.46	203	90.20773321	44.25988405	4103677	Bacteroidota	Bacteroidia	Chitinophagales	LD1	UBA7692	UBA7692 sp002482725
GCA_002482775	0.5	96.33	1.08	186	92.00550823	58.63481146	4462410	Bacteroidota	Bacteroidia	Flavobacteriales	PHOS-HE28	PHOS-HE28	PHOS-HE28 sp002482775
GCA_002507565	1	92.09	0.81	186	90.26560454	59.97523657	2922051	Firmicutes	Bacilli	Paenibacillales	Reconcilibacillaceae	Reconcilibacillus	Reconcilibacillus cellulovorans
GCA_002633315	0.3	97.58	0.27	186	89.1082515	38.03709752	2591650	Bacteroidota	Bacteroidia	Bacteroidales	F082	F082	F082 sp002633315
GCA_002682945	0.3	93.28	4.84	186	96.05972916	36.49842034	1654937	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	TMED14	TMED14 sp002682945
GCA_002691165	0.9	54.31	0.86	58	96.48989392	30.40526652	761373	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MED-G14	MED-G14 sp002691165
GCA_002691385	0.9	82.04	4.76	336	90.78385305	36.24303262	2959024	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	UBA4465	UBA4465 sp002691385
GCA_002701365	0.3	93.17	0	186	96.58467072	30.47664661	1545239	Bacteroidota	Bacteroidia	Flavobacteriales	TMED113	GCA-002701365	GCA-002701365 sp002701365
GCA_002705995	1	99.19	1.61	186	92.66756687	38.44538695	4489342	Bacteroidota	Bacteroidia	Flavobacteriales	Salibacteraceae	GCA-2705995	GCA-2705995 sp002705995
GCA_002706365	1	98.92	0.27	186	91.91562995	40.49559123	3018417	Bacteroidota	Bacteroidia	Flavobacteriales	Vicingaceae	UBA1494	UBA1494 sp002706365
GCA_002707525	1	90.86	1.86	186	94.72148495	40.43178458	2112507	Bacteroidota	Bacteroidia	Flavobacteriales	Schleiferiaceae	UBA10364	UBA10364 sp002707525
GCA_002709305	1	97.3	2.61	185	94.28949905	32.49886826	2315296	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	UBA4466	UBA4466 sp002709305
GCA_002712765	1	71.26	1.01	263	92.15148775	40.6243734	2773188	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Dokdonia	Dokdonia sp002712765
GCA_002714805	1	93.55	1.08	186	95.73035943	31.65015741	1669274	Bacteroidota	Bacteroidia	Flavobacteriales	UBA7312	UBA8444	UBA8444 sp002714805
GCA_002716065	1	90.86	2.87	186	95.60391825	32.62483524	2327368	Bacteroidota	Bacteroidia	Flavobacteriales	UBA10066	GCA-2716065	GCA-2716065 sp002716065
GCA_002717515	0.9	90.3	0.54	186	93.51896156	33.93046244	2643743	Bacteroidota	Bacteroidia	Flavobacteriales	GCA-002722245	GCA-002722245	GCA-002722245 sp002717515
GCA_002722255	1	84.38	0	303	92.25647522	33.76828148	3208965	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	Winogradskyella sp002722255
GCA_002728855	0.3	94.12	1.47	136	95.16703494	30.56940809	1618344	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	GCA-002728855	GCA-002728855 sp002728855
GCA_002729235	1	96.27	4.39	183	92.50413017	40.0947213	6553609	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	Marinoscillum sp002729235
GCA_002733185	0.1	85.84	0.65	263	91.14092577	32.27209036	2932338	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	GCA-002733185	GCA-002733185 sp002733185
